! Summary of image counts for Job= CDFNmaster_nx769ij
! Source File: all_lrds_cstack_good_coord.fits      X-ray Band: 500_2000
! Source from <-9 asec  Background from >= 7.0 arcsec
! Pixel_size= 0.492000000000012 arcsec
! Poststamp_img_size=60x60 (pix) 30.0x30.0 (arcsec)
! src_rate= (cts_src/exp_src-cts_bkg/exp_bkg/px_bkg*px_src)/ecf (for each field,lbl=n)
!         = (wgt*exp_src)-weighted mean of used fields (lbl=sum) or objects (lbl=All).
! UL90: 90 percent Bayasian upper limit in c/s
! *** Note: cts_src,exp_src,px_src,cts_bkg,exp_bkg px_bkg and ul90b not weighted.            
!Obj_name     lbl  rad cts_src  exp_src  px_src cts_bkg  exp_bkg  px_bkg  src_rate    wgt    ecf offax     ul90b  Field/Comm 
!                (asec)  (cts)   (sec)    (pix)   (cts)   (sec)    (pix)    (c/s)               (amin)     (c/s)
 CEERS_00397  ...  0.0       0 0.00e+00        0       0 0.00e+00        0  0.00e+00 1.0e+00 0.000 -9.99 -9.99e+00 No_field
 CEERS_00672  ...  0.0       0 0.00e+00        0       0 0.00e+00        0  0.00e+00 1.0e+00 0.000 -9.99 -9.99e+00 No_field
 CEERS_00717  ...  0.0       0 0.00e+00        0       0 0.00e+00        0  0.00e+00 1.0e+00 0.000 -9.99 -9.99e+00 No_field
 CEERS_00746  ...  0.0       0 0.00e+00        0       0 0.00e+00        0  0.00e+00 1.0e+00 0.000 -9.99 -9.99e+00 No_field
 CEERS_01236  ...  0.0       0 0.00e+00        0       0 0.00e+00        0  0.00e+00 1.0e+00 0.000 -9.99 -9.99e+00 No_field
 CEERS_01244  ...  0.0       0 0.00e+00        0       0 0.00e+00        0  0.00e+00 1.0e+00 0.000 -9.99 -9.99e+00 No_field
 CEERS_01665  ...  0.0       0 0.00e+00        0       0 0.00e+00        0  0.00e+00 1.0e+00 0.000 -9.99 -9.99e+00 No_field
 CEERS_02782  ...  0.0       0 0.00e+00        0       0 0.00e+00        0  0.00e+00 1.0e+00 0.000 -9.99 -9.99e+00 No_field
 GOODS_N_13733    1  4.9      10 5.95e+05      305     124 5.94e+05     3080 -4.33e-06 1.0e+00 0.900  6.24 -9.99e+00 cdfn_r040/OK
 GOODS_N_13733    2  1.7       4 1.04e+06       37     175 1.04e+06     3080  2.03e-06 1.0e+00 0.900  3.07 -9.99e+00 cdfn_r140/OK
 GOODS_N_13733  sum  3.2      14 1.63e+06      342     299 1.63e+06     6160 -2.84e-07 1.0e+00 0.900 -9.90  4.96e-06 used_flds:2
 GOODS_N_16813    1  3.3       2 5.67e+05      145      99 5.74e+05     3080 -5.10e-06 1.0e+00 0.900  4.96 -9.99e+00 cdfn_r040/OK
 GOODS_N_16813    2  1.7       1 6.32e+05       37      89 7.12e+05     3080  8.99e-08 1.0e+00 0.900  3.16 -9.99e+00 cdfn_r140/OK
 GOODS_N_16813  sum  2.6       3 1.20e+06      182     188 1.29e+06     6160 -2.36e-06 1.0e+00 0.900 -9.90  3.25e-06 used_flds:2
 GOODS_N_4014    1  1.0       1 5.60e+05       13      91 5.51e+05     3080  1.19e-06 1.0e+00 0.914  1.43 -9.99e+00 cdfn_r040/OK
 GOODS_N_4014    2  2.9       6 1.03e+06      109     150 1.03e+06     3080  7.47e-07 1.0e+00 0.900  4.56 -9.99e+00 cdfn_r140/OK
 GOODS_N_4014  sum  2.4       7 1.59e+06      122     241 1.58e+06     6160  9.05e-07 1.0e+00 0.905 -9.90  4.59e-06 used_flds:2
 GOODS_S_13971  ...  0.0       0 0.00e+00        0       0 0.00e+00        0  0.00e+00 1.0e+00 0.000 -9.99 -9.99e+00 No_field
 M23_10013704_2  ...  0.0       0 0.00e+00        0       0 0.00e+00        0  0.00e+00 1.0e+00 0.000 -9.99 -9.99e+00 No_field
 M23_20621      1  4.3       0 4.68e+05      241      78 5.12e+05     3080 -1.33e-05 1.0e+00 0.900  5.79 -9.99e+00 cdfn_r040/OK
 M23_20621      2  1.7       3 1.01e+06       37     177 1.00e+06     3080  9.34e-07 1.0e+00 0.900  3.17 -9.99e+00 cdfn_r140/OK
 M23_20621    sum  2.8       3 1.48e+06      278     255 1.51e+06     6160 -3.56e-06 1.0e+00 0.900 -9.90  2.40e-06 used_flds:2
 M23_3608       1  2.3       4 6.00e+05       69      86 6.13e+05     3080  3.92e-06 1.0e+00 0.900  3.86 -9.99e+00 cdfn_r040/OK
 M23_3608       2  1.0       0 4.52e+05       13      99 6.72e+05     3080 -6.72e-07 1.0e+00 0.925  0.97 -9.99e+00 cdfn_r140/OK
 M23_3608     sum  1.8       4 1.05e+06       82     185 1.29e+06     6160  1.92e-06 1.0e+00 0.911 -9.90  6.16e-06 used_flds:2
 M23_53757_2    1  1.0       0 4.78e+05       13      90 5.29e+05     3080 -7.88e-07 1.0e+00 0.912  1.46 -9.99e+00 cdfn_r040/OK
 M23_53757_2    2  2.7      11 9.98e+05       97     141 1.00e+06     3080  7.32e-06 1.0e+00 0.900  4.40 -9.99e+00 cdfn_r140/OK
 M23_53757_2  sum  2.3      11 1.48e+06      110     231 1.53e+06     6160  4.67e-06 1.0e+00 0.904 -9.90  8.85e-06 used_flds:2
 M23_73488_2    1  1.5       1 5.46e+05       25      77 5.71e+05     3080  8.19e-07 1.0e+00 0.900  2.79 -9.99e+00 cdfn_r040/OK
 M23_73488_2    2  2.5       4 9.56e+05       69     128 9.60e+05     3080  1.33e-06 1.0e+00 0.900  4.09 -9.99e+00 cdfn_r140/OK
 M23_73488_2  sum  2.2       5 1.50e+06       94     205 1.53e+06     6160  1.14e-06 1.0e+00 0.900 -9.90  4.51e-06 used_flds:2
 M23_77652      1  1.0       0 6.57e+05       13      95 6.58e+05     3080 -6.77e-07 1.0e+00 0.899  1.61 -9.99e+00 cdfn_r040/OK
 M23_77652      2  3.1       6 1.02e+06      121     156 1.02e+06     3080 -1.63e-07 1.0e+00 0.900  4.75 -9.99e+00 cdfn_r140/OK
 M23_77652    sum  2.5       6 1.68e+06      134     251 1.67e+06     6160 -3.65e-07 1.0e+00 0.900 -9.90  3.45e-06 used_flds:2
 M23_8083     ...  0.0       0 0.00e+00        0       0 0.00e+00        0  0.00e+00 1.0e+00 0.000 -9.99 -9.99e+00 No_field
!          ================= Final Summed Result =====================
 sum_all      All  2.5      53 1.16e+07     1344    1855 1.20e+07    49280  2.54e-07 1.0e+00 0.902 -9.90  1.31e-06 used_objs:8
!          =============================================================
!Accepted: 8  Near_src: 0  Out: 11   Total: 19
!Final Stacked Rate:  2.54e-07 +/-  7.13e-07 (Counting Statistics Error)
!Total Exposure:  1.16e+07 [sec]
!Please refer to bootstrap results for  better error analysis.
! Notes from Dataset (if any):
! 
! 
! This is based on the CDFN data over 1.9 Msec.
! 
! *** Normalization of the exposure map ***
! 
! The exposure map *.texp is the effective exposure in seconds, rather than 
! the Chandra standard convention of [s cm^2]. Since detector sensitivity change 
! over time, the effective exposure map is calculated for the response matrix at 
! the time of a reference observation. The reference observation for this dataset 
! is OBSID=3391 (observed at '2002-02-22T01:52:24'). 
! 
! If you want to use PIMMS for countrate to flux conversion, use ACIS-I for 
! Chandra Cycle 3. 
! 
!Created by ./stackanalysis_v4.pl in https://lambic.astrosen.unam.mx/cstack_v4.5/Users/CDFNmaster_nx769ij
