! Summary of image counts for Job= AEGISmaster_is090wC
! Source File: all_lrds_cstack_good_coord.fits      X-ray Band: 2000_8000
! Source from <-9 asec  Background from >= 7.0 arcsec
! Pixel_size= 0.492000000000012 arcsec
! Poststamp_img_size=60x60 (pix) 30.0x30.0 (arcsec)
! src_rate= (cts_src/exp_src-cts_bkg/exp_bkg/px_bkg*px_src)/ecf (for each field,lbl=n)
!         = (wgt*exp_src)-weighted mean of used fields (lbl=sum) or objects (lbl=All).
! UL90: 90 percent Bayasian upper limit in c/s
! *** Note: cts_src,exp_src,px_src,cts_bkg,exp_bkg px_bkg and ul90b not weighted.            
!Obj_name     lbl  rad cts_src  exp_src  px_src cts_bkg  exp_bkg  px_bkg  src_rate    wgt    ecf offax     ul90b  Field/Comm 
!                (asec)  (cts)   (sec)    (pix)   (cts)   (sec)    (pix)    (c/s)               (amin)     (c/s)
 CEERS_00397    1  1.7       3 1.81e+05       37      91 1.82e+05     3080  1.17e-05 1.0e+00 0.900  2.50 -9.99e+00 aegis2a/OK
 CEERS_00397    2  3.5      11 5.07e+05      161     283 5.06e+05     3080 -8.41e-06 1.0e+00 0.900  4.72 -9.99e+00 aegis2b/OK
 CEERS_00397  sum  3.1      14 6.88e+05      198     374 6.88e+05     6160 -3.11e-06 1.0e+00 0.900 -9.90  1.07e-05 used_flds:2
 CEERS_00672    1  1.4       2 1.67e+05       25      60 1.71e+05     3080  1.01e-05 1.0e+00 0.900  1.58 -9.99e+00 aegis2a/OK
 CEERS_00672    2  2.3       6 5.35e+05       69     318 5.37e+05     3080 -2.29e-06 1.0e+00 0.900  3.39 -9.99e+00 aegis2b/OK
 CEERS_00672  sum  2.1       8 7.03e+05       94     378 7.08e+05     6160  6.64e-07 1.0e+00 0.900 -9.90  9.96e-06 used_flds:2
 CEERS_00717    1  2.7       4 1.70e+05       97      64 1.69e+05     3060  1.28e-05 1.0e+00 0.900  3.91 -9.99e+00 aegis1a/OK
 CEERS_00717    2  1.5       1 4.90e+05       29     263 4.94e+05     3080 -3.30e-06 1.0e+00 0.900  1.88 -9.99e+00 aegis1b/OK
 CEERS_00717  sum  1.9       5 6.60e+05      126     327 6.63e+05     6140  8.41e-07 1.0e+00 0.900 -9.90  9.09e-06 used_flds:2
 CEERS_00746    1  1.6       0 1.58e+05       37      54 1.50e+05     3031 -4.88e-06 1.0e+00 0.900  2.15 -9.99e+00 aegis2a/OK
 CEERS_00746    2  2.6      12 5.34e+05       89     298 5.44e+05     3002  6.90e-06 1.0e+00 0.900  3.75 -9.99e+00 aegis2b/OK
 CEERS_00746  sum  2.4      12 6.92e+05      126     352 6.94e+05     6033  4.21e-06 1.0e+00 0.900 -9.90  1.41e-05 used_flds:2
 CEERS_01236    1  2.9       3 1.78e+05      109      76 1.78e+05     2966  1.22e-06 1.0e+00 0.900  4.12 -9.99e+00 aegis1a/OK
 CEERS_01236    2  2.5       8 5.15e+05       81     272 4.90e+05     3008  6.52e-07 1.0e+00 0.900  3.67 -9.99e+00 aegis1b/OK
 CEERS_01236  sum  2.6      11 6.93e+05      190     348 6.67e+05     5974  7.97e-07 1.0e+00 0.900 -9.90  1.14e-05 used_flds:2
 CEERS_01244    1  3.3       3 1.81e+05      137      76 1.79e+05     3080 -2.58e-06 1.0e+00 0.900  4.48 -9.99e+00 aegis1a/OK
 CEERS_01244    2  6.4      51 5.04e+05      517     263 5.05e+05     2971  1.19e-05 1.0e+00 0.900  6.84 -9.99e+00 aegis1b/OK
 CEERS_01244  sum  5.7      54 6.85e+05      654     339 6.84e+05     6051  8.05e-06 1.0e+00 0.900 -9.90  2.73e-05 used_flds:2
 CEERS_01665    1  1.8       0 1.86e+05       45      74 1.83e+05     3080 -6.56e-06 1.0e+00 0.900  2.70 -9.99e+00 aegis1a/OK
 CEERS_01665    2  4.5      19 5.14e+05      261     145 4.93e+05     1602 -1.22e-05 1.0e+00 0.900  5.51 -9.99e+00 aegis1b/X-src
 CEERS_01665  sum  1.8       0 1.86e+05       45      74 1.83e+05     3080 -6.56e-06 1.0e+00 0.900 -9.90  1.37e-05 used_flds:1
 CEERS_02782    1  1.4       0 1.36e+05       21      46 1.42e+05     3080 -2.46e-06 1.0e+00 0.900  1.14 -9.99e+00 aegis2a/OK
 CEERS_02782    2  1.4       2 5.76e+05       25     371 5.69e+05     3080 -2.02e-06 1.0e+00 0.900  1.57 -9.99e+00 aegis2b/OK
 CEERS_02782  sum  1.4       2 7.11e+05       46     417 7.11e+05     6160 -2.10e-06 1.0e+00 0.900 -9.90  5.31e-06 used_flds:2
 GOODS_N_13733  ...  0.0       0 0.00e+00        0       0 0.00e+00        0  0.00e+00 1.0e+00 0.000 -9.99 -9.99e+00 No_field
 GOODS_N_16813  ...  0.0       0 0.00e+00        0       0 0.00e+00        0  0.00e+00 1.0e+00 0.000 -9.99 -9.99e+00 No_field
 GOODS_N_4014  ...  0.0       0 0.00e+00        0       0 0.00e+00        0  0.00e+00 1.0e+00 0.000 -9.99 -9.99e+00 No_field
 GOODS_S_13971  ...  0.0       0 0.00e+00        0       0 0.00e+00        0  0.00e+00 1.0e+00 0.000 -9.99 -9.99e+00 No_field
 M23_10013704_2  ...  0.0       0 0.00e+00        0       0 0.00e+00        0  0.00e+00 1.0e+00 0.000 -9.99 -9.99e+00 No_field
 M23_20621    ...  0.0       0 0.00e+00        0       0 0.00e+00        0  0.00e+00 1.0e+00 0.000 -9.99 -9.99e+00 No_field
 M23_3608     ...  0.0       0 0.00e+00        0       0 0.00e+00        0  0.00e+00 1.0e+00 0.000 -9.99 -9.99e+00 No_field
 M23_53757_2  ...  0.0       0 0.00e+00        0       0 0.00e+00        0  0.00e+00 1.0e+00 0.000 -9.99 -9.99e+00 No_field
 M23_73488_2  ...  0.0       0 0.00e+00        0       0 0.00e+00        0  0.00e+00 1.0e+00 0.000 -9.99 -9.99e+00 No_field
 M23_77652    ...  0.0       0 0.00e+00        0       0 0.00e+00        0  0.00e+00 1.0e+00 0.000 -9.99 -9.99e+00 No_field
 M23_8083     ...  0.0       0 0.00e+00        0       0 0.00e+00        0  0.00e+00 1.0e+00 0.000 -9.99 -9.99e+00 No_field
!          ================= Final Summed Result =====================
 sum_all      All  3.0     106 5.02e+06     1479    2609 5.00e+06    45758  1.02e-06 1.0e+00 0.900 -9.90  8.06e-06 used_objs:8
!          =============================================================
!Accepted: 8  Near_src: 0  Out: 11   Total: 19
!Final Stacked Rate:  1.02e-06 +/-  2.38e-06 (Counting Statistics Error)
!Total Exposure:  5.02e+06 [sec]
!Please refer to bootstrap results for  better error analysis.
! Notes from Dataset (if any):
! 
! See <a href="./Notes_AEGISXD_1.txt"> this note </a> for details of the dataset used here for AEGIS-XD. Many thanks to Antonis Georgakakis for providing us with reprocessed data.
!Created by ./stackanalysis_v4.pl in https://lambic.astrosen.unam.mx/cstack_v4.5/Users/AEGISmaster_is090wC
